AGCnr,RA,DEC,Vsys(km/s),W50(km/s),W50err,W20(km/s),flux(Jy*km/s),fluxerr,SN,rms,smo,FitType,comments
AGC100038.fits,1.5616164525077416,8.888403621997476,11533.801556747288,613.9269770118192,59.671837132245805,935.494220956651,2.805317270990059,0.31487175824856145,0.4928983181702243,8.709148850454572,None,gauss,slight underestimate
10244,242.48466929051824,43.129833425628725,9638.528045628926,nan,1472.3157005417163,nan,1.350200048764641,0.484623716845977,nan,7.404144166117938,21,MultiGauss,not good 
AGC10244.fits,242.48466929051824,43.129833425628725,9794.527534080396,8.361946438692838,1.2912147808299494,12.741829015921548,0.07066024248447725,0.014433932841701799,1.0759000072468063,7.378424082919349,7,gauss,not good, fit too narrow
AGC10244.fits,242.48466929051824,43.129833425628725,9755.837653601278,400.54880382674685,13.65358397511777,610.3512391894893,1.6287599019864256,0.07259130461828994,0.5136443200613202,7.437156516783746,15,gauss,slight underestimate
AGC10244.fits,242.48466929051824,43.129833425628725,9835.622253612037,565.7937626609049,33.6667710474792,567.3597843382898,1.6597937196714334,0.33634365668841465,1.764022165677158,7.437156516783746,15,trap,
AGC105046.fits,3.7503883879718707,16.33323795928831,8325.522928557777,219.40225867113406,9.880663831606663,334.3224076105891,1.839105361382955,0.10956077676830421,1.3133140907063559,5.996042382055332,None,gauss,
AGC105046.fits,3.7503883879718707,16.33323795928831,8328.25248740289,288.2840437148198,20.529031499028534,310.2853076620468,1.7809554251762494,0.19253634207459125,3.9116776212554183,5.996042382055332,None,trap,
AGC11097.fits,270.601046416691,26.044176556591164,4674.060893669957,179.76022306376512,86.07186599103538,332.9936422454141,5.305740968174862,0.198787155639292,11.141449169755436,7.942231892947593,None,twopeak,
AGC11128.fits,272.33666125698767,18.296919550050195,5340.694606825553,69.5185683481121,4.541650444496769,105.93152178355375,0.8105577006624147,0.07005123921744633,1.3499632405528286,8.113886999513737,None,gauss,
AGC11198.fits,274.7486680876838,16.24760710918471,4487.263510398127,355.94957231887065,16.84676593837462,373.07360388266034,1.3135952959855313,0.2806699340826813,1.9532797398951318,7.970542898687702,None,twopeak,
AGC11198.fits,274.7486680876838,16.24760710918471,4547.387327189315,365.2616610887656,14.57446605375565,428.1625254190606,1.8437035510359987,0.2845988237508073,2.70636361369806,7.970542898687702,None,trap,
11409,287.6600751783863,37.65643433876412,8364.061543807695,539.7578944969501,146.56873603304632,521.7234992747827,0.6380730480190457,0.3757850362149418,0.7062989661320122,7.485103756847479,21,MultiGauss,bad fit, no detection
11470,295.92465700337146,56.10842367697341,3552.9310019286,558.4756724613683,45.26216426491521,598.1896369291583,1.8747613215704242,0.3846063329267508,1.948756311114894,7.703696920113511,21,MultiGauss,
11478,296.78635244743725,59.90649440049658,3300.4466606998426,468.3464820141579,19.539224702424935,497.35361590366017,6.4405821802191445,0.3531881610398716,8.068409485346002,7.622280561465215,21,MultiGauss,
11554,305.8962993939224,58.34388408630008,3097.799214245097,357.5772341917191,3.1868516626674497,371.8544995614989,11.924187726297927,0.3544179601475981,16.27483972743677,8.66387456565763,21,MultiGauss,
120570,43.56945341979719,42.72556565259342,6296.291370672587,255.22021718416548,39.51188696410508,286.7802324633813,2.9650863307281474,0.501389884095701,3.0757848637147953,13.493010319797683,21,MultiGauss,
12071,338.1018560164422,30.835413124161164,10396.682128824043,369.2941074127398,53.958611047547706,410.0069876103812,1.9769716082405853,0.3070188005621749,3.2207759763480266,7.142310514507375,21,MultiGauss,
130214,50.75275156448573,1.36483015751867,9982.485385261272,nan,340.83468518313833,nan,1.6048714558914952,0.398032037639655,nan,7.724105062046136,21,MultiGauss,
131345,51.508297400539476,40.695227745074874,3764.4254653567514,457.400755383175,33.84581015211772,481.52302380041624,2.1136104506811133,0.39964357763586394,2.3722298396403696,8.711366860230704,21,MultiGauss,
AGC131345.fits,51.508297400539476,40.695227745074874,3764.5584180898077,462.33394016876673,38.28844990257718,476.96534570459744,1.968625556212955,0.34790422731759507,2.191437992571912,8.689467305211755,7,twopeak,
AGC131345.fits,51.508297400539476,40.695227745074874,3767.1863575993034,458.439528773432,28.214147163893436,471.41854540008455,1.9789637829449673,0.34671131669781063,2.2216601909075115,8.689467305211755,7,trap,
1324,27.904991701924125,19.103813920740883,10089.221488149367,429.6337329656621,27.058236162002487,462.07331383249624,4.288727990184738,0.3697561373716775,5.514456164864993,8.095476908639112,21,MultiGauss,
AGC1324.fits,27.904991701924125,19.103813920740883,10088.872642721959,432.0793602626199,5.725331381624669,439.82674257561115,4.161040660635972,0.3195409543541371,5.324626080574285,8.088431673196414,7,twopeak,
AGC1324.fits,27.904991701924125,19.103813920740883,10093.999748688857,433.4200900796259,10.753394946827996,444.1339708900905,4.180981942486524,0.32027851015829706,5.33359371641992,8.088431673196414,7,trap,
140442,71.35836013637302,18.41897522597959,4632.769832812079,316.83844601353104,13.35438430180049,346.7750485664654,4.662256192887093,0.2627212824387649,8.292364661763788,7.06291219469271,21,MultiGauss,
AGC140442.fits,71.35836013637302,18.41897522597959,4637.11242493442,322.78792442660597,17.69862048076143,338.1380154472927,5.075300356956779,0.4343895457224211,4.879065576410831,12.946472591742952,7,twopeak,
AGC140442.fits,71.35836013637302,18.41897522597959,4635.630664595983,319.2066583108117,17.94641562016924,329.60270878608753,5.050211024260585,0.4321423944864003,4.882104832133006,12.946472591742952,7,trap,
180952,122.935147825558,41.55495479210369,9482.113247810099,359.6266054501474,23.12169067708618,395.77631569663106,5.95184592926796,0.3853051708061517,7.762519406374399,9.04082529146607,21,MultiGauss,
AGC180952.fits,122.935147825558,41.55495479210369,9487.459830730804,363.83207712683526,22.23798601034815,389.22434204447,5.781067295631232,0.32817229375441476,7.4750317101070864,9.066287667077253,7,twopeak,
AGC180952.fits,122.935147825558,41.55495479210369,9484.735303680178,394.0889323286792,28.26432500740276,425.3312729517347,5.924249504973391,0.34167512061302735,7.360235818925813,9.066287667077253,7,trap,
11628,311.829023997794,0.32073081860793773,4221.2644445905025,497.7989234962007,23.94820462329635,566.1231838145296,15.799770145575188,0.6416087746773886,11.86397800026289,11.964139851062923,21,MultiGauss,
AGC11628.fits,311.829023997794,0.32073081860793773,4214.719203916532,478.4762091070026,9.612635080178116,510.25450596671243,15.187691762106983,0.48705222102176854,11.887438674007651,11.94147941239769,5,twopeak,
AGC11628.fits,311.829023997794,0.32073081860793773,4205.377699586609,481.78073668891193,14.402233839809327,522.676069636304,15.262243655611254,0.48921143661540767,11.863854582982812,11.94147941239769,5,trap,
11758,322.7405386279354,13.98578678548917,8626.981831859805,608.7165262003646,40.75176260103467,644.2483467791926,3.120745968793453,0.48541102709279704,2.5819951594529145,8.879794179451928,21,MultiGauss,
AGC11758.fits,322.7405386279354,13.98578678548917,8650.149144015639,616.1196197709447,27.564731472488884,630.1792105820747,3.087240365925338,0.4170337606093354,2.525307958859256,8.873726839378882,7,trap,
20503,11.384439577486571,-26.56462735210496,6802.9622879935505,295.8594703360622,17.33256101221669,315.42945006725125,3.0622659331512443,0.3714938990515802,4.343539448032861,9.16518841147787,21,MultiGauss,
AGC20503.fits,11.384439577486571,-26.56462735210496,6814.582425161563,289.3105077266596,7.927454366347971,440.84771996444476,3.665489780040457,0.1325241444473231,1.6423813109151264,7.247055588645199,6,gauss,
AGC20503.fits,11.384439577486571,-26.56462735210496,6800.9624253290385,298.89338674133717,17.968554610505393,324.78918308644927,3.4056445797188633,0.23563076839077873,6.078054342095259,7.247055588645199,6,twopeak,
AGC20503.fits,11.384439577486571,-26.56462735210496,6812.857872690149,338.30384162015525,26.190862065743893,378.3448121779247,3.442960147357356,0.25087812969472434,5.775664271469967,7.247055588645199,6,trap,
AGC21306.fits,25.094638429326665,-28.91410732465208,5680.672978766254,427.2073054499088,27.421402067641814,650.9731293191869,8.505558270650907,0.5831735082196019,2.0698173771401964,9.036492787414447,6,gauss,
AGC21306.fits,25.094638429326665,-28.91410732465208,5702.272232329353,288.7426969982111,4.19321161070292,297.2524544669008,5.413945931795038,0.2877739661022732,7.883943545389486,9.036492787414447,6,twopeak,
AGC21306.fits,25.094638429326665,-28.91410732465208,5707.241882273324,334.0084282106254,19.131783805312104,363.9071242353266,5.897650245041431,0.3096906836683089,7.985192616706984,9.036492787414447,6,trap,
21306,25.094638429326665,-28.91410732465208,5708.767844160302,306.02426496979945,11.073597060520093,332.0046050403263,6.057754708171793,0.36673993418244527,8.587788229359221,9.016488390391817,21,MultiGauss,
2164,40.28933125493007,43.68152231947451,6861.896487531729,391.55167251879897,11.47671783548907,415.963303197971,6.750474862199602,0.36014005861443443,9.164162982054956,8.323998253719054,21,MultiGauss,
AGC2164.fits,40.28933125493007,43.68152231947451,6849.02044721431,360.80800733845473,7.988993969571021,549.7947123661112,7.110456709639277,0.2075775088218365,2.22677944844193,8.31403611300904,7,gauss,
AGC2164.fits,40.28933125493007,43.68152231947451,6859.708868036763,399.08137386433725,11.075970687368617,419.0913121651291,6.730162685367751,0.3124199880301991,9.060828882106543,8.31403611300904,7,twopeak,
222248,193.7141602203023,58.88184207960077,2557.731594664975,178.2644304378551,15.785416646567608,245.5562900452238,10.732112685042997,0.2690020168804167,22.251983153740635,8.077354724777345,21,MultiGauss,
AGC222248.fits,193.7141602203023,58.88184207960077,2567.8606468848807,158.0071968443706,3.587403493093129,240.7693830900397,10.629720232570225,0.3054691320182527,7.811888573472467,8.090152485251723,7,gauss,
AGC222248.fits,193.7141602203023,58.88184207960077,2561.2115943981016,168.4046171029229,8.071341391176853,204.58317784665658,9.778068405927584,0.19469728922145405,20.82592829984459,8.090152485251723,7,twopeak,
AGC222248.fits,193.7141602203023,58.88184207960077,2564.080419613804,187.09812767346028,11.859324734544973,244.63774097945696,10.384333337255413,0.20558728343933771,20.98322292567001,8.090152485251723,7,trap,
22318,46.32410430368502,-39.561370918850066,6077.381778854233,317.41224182342336,16.85879678922855,345.54100825730217,4.146589381302587,0.3673552455098577,5.763352167095437,9.030026802928475,21,MultiGauss,
AGC22318.fits,46.32410430368502,-39.561370918850066,6082.760634852077,340.9864586180659,12.210075915445811,519.5908852455163,4.422591635648346,0.201605577280003,1.3395628884330752,9.095872876440584,7,gauss,
AGC22318.fits,46.32410430368502,-39.561370918850066,6085.57617854027,339.0496830360469,8.986386461197526,516.6396509259437,4.330870101191165,0.1518493762917382,1.2393179209443175,9.682708708432756,7,gauss,
AGC22318.fits,46.32410430368502,-39.561370918850066,6078.813743174216,323.64037111889866,7.960357591590809,332.2193099569813,3.8159720317043537,0.32683673872837754,4.89848714893392,9.682708708432756,7,twopeak,
AGC22318.fits,46.32410430368502,-39.561370918850066,6079.499229207084,335.56083750269954,14.944564137681914,347.38765258370586,3.80789244332701,0.33293062839450144,4.80050773050929,9.682708708432756,7,trap,
2269,53.40144325531631,-36.1403673535723,1634.5784245999334,386.91533451538567,1.540155722144846,416.8888461666677,116.7082090126994,0.6578220951033834,90.69408348651032,14.628489324670095,21,MultiGauss,
AGC2269.fits,53.40144325531631,-36.1403673535723,1619.4712649596906,358.3331892406731,4.707208124377256,546.0236156150573,125.72895992146579,2.18400105983094,23.17980587925308,14.22021867575232,None,gauss,
AGC2269.fits,53.40144325531631,-36.1403673535723,1635.6571230189843,377.89866385628466,1.4554841948676687,410.5980958084567,116.33529186525031,0.5110671857677116,94.10279715511113,14.22021867575232,None,twopeak,
AGC2269.fits,53.40144325531631,-36.1403673535723,1621.1710784506606,394.8195199189249,2.730896435972169,444.8822141698565,117.36882818735943,0.5231472487493647,92.88213461273607,14.22021867575232,None,trap,
23161,61.12660714446803,-17.905663820145875,8042.602946979693,462.3869683743185,14.276123152671419,497.76781636997,8.005274133807445,0.4253599623893231,8.641639106020447,8.959618038052385,21,MultiGauss,
