430359,Session,Scan,S/N (Arya),S/N (Jen),S/N (Becky),"S/N (J,S,A)",S/N (Katie),S/N (Alex),S/N average,S/N(Arya)(median-method),S/N (Tom)(median-method),"S/N (J,S,A)(median-method)","Classification (gps, detection, non-detection)",,,,-> Strong Detection (S/N >= 8),
440420,1,13,3.5,4.66,4.7,5.52,4.35,3.5,4.5374,3.2,3.4,3.42,,,,,,
440420,1,15,,,,,,,#DIV/0!,,,,,,,,"-> Weak,low S/N",(S/N ~3-8)
440420,16,49,,,,,,,#DIV/0!,,,,,,,,,
440420,16,51,,,,,,,#DIV/0!,,,,,,,,,
140442,1,17,8.6,,7.7,7.9,8.74,5.68,8.235,6.5,8.1,7.3,,,,,,
140442,1,19,,,,,,,#DIV/0!,,,,,,,,-> Non-detection,(S/N < 3
3151,1,21,3.46,,3.2,,3.31,2.57,3.323333333,1.27,1.3,,,probably needs at least  2 more?,,,,
3151,1,23,,,,,,,#DIV/0!,,,,,,,,-> Unique scenarios,
3232,1,25,27.67,,,21,26.26,12.15,24.97666667,22.87,22.6,22.4,,,,,,
3232,1,27,,,,,,,#DIV/0!,,,,,,,,,
24007,1,29,7.08,7.57,6.7,11.23,7.51,5.21,8.018,4.51,5.3,7.52,,,,,,
24007,1,31,,,,,,,#DIV/0!,,,,,,,,,
24007,16,53,,,,,,,#DIV/0!,,,,,,,,,
24007,16,55,,,,,,,#DIV/0!,,,,,,,,,
450525,1,33,9.05,,10,9.3,9.17,4.925,9.38,7.27,6.8,6.6,,confusion! likely picking up signal from spiral in field with v~9300 km/s\,,,,
450525,1,35,,,,,,,#DIV/0!,,,,,,,,,
24223,1,37,5.5,,5.1,6.03,5.67,5.23,5.575,3.32,3.9,3.85,,warped disk,,,,
24223,1,39,,,,,,,#DIV/0!,,,,,,,,,
24223,16,57,,,,,,,#DIV/0!,,,,,,,,,
24223,16,59,,,,,,,#DIV/0!,,,,,,,,,
610776,2,9,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
610776,2,11,,,,,,,#DIV/0!,,,,,,,,,
11758,2,13,6.1,,,,6.4,,6.25,4.14,3.2,,,,,,,
11758,9,73,,,,,,,#DIV/0!,,,,,,,,,
11758,21,21,,,,,,,,,,,,,,,,
11758,21,23,,,,5.86,,,,,,4.31,,,,,,
311400,2,15,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
311400,2,17,,,,,,,#DIV/0!,,,,,,,,,
610773,2,19,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
610773,2,21,,,,,,,#DIV/0!,,,,,,,,,
610146,2,23,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
610146,2,25,,,,,,,#DIV/0!,,,,,,,,,
610146,9,77,,,,,,,#DIV/0!,,,,,,,,,
610146,9,79,,,,,,,#DIV/0!,,,,,,,,,
34954,2,27,,,,,7.32,,7.32,5.42,,,,,,,,
34954,2,29,,,,,,,#DIV/0!,,,,,,,,,
34954,9,75,,,,,,,#DIV/0!,,,,,,,,,
34954,21,25,,,,,,,,,,,,,,,,
34954,21,27,,,,,,,,,,,,,,,,
11628,2,31,15.939,,,14.23,14.81,,14.993,13.77,,13.8,,,,,,
11628,21,17,,,,,,,,,,,,,,,,
11628,21,19,,,,13.17,,,,,,12.6,,,,,,
323632,2,33,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
323632,2,35,,,,,,,#DIV/0!,,,,,,,,,
300486,3,9,n/a,,,,n/a,,#DIV/0!,n/a,,,,**observe with different OFF,,,,
300486,5,39,,,,,,,#DIV/0!,,,,,,,,,
310069,3,11,17.66,,,11.23,17.08,,15.32333333,9.47,,7.72,,"Median method S/N much lower since I used the lower peak of the two, and used the higher peak for the regular method",,,,
310069,3,13,,,,,,,#DIV/0!,,,,,,,,,
310069,11,9,,,,,,,#DIV/0!,,,,,,,,,
310983,3,15,n/a,,,n/a,n/a,,#DIV/0!,n/a,,1.55,,,,,,
310983,3,17,,,,,,,#DIV/0!,,,,,,,,,
11554,3,19,17.8275,,,16.9,17.35,8.18,17.35916667,15.13,,15.7,,,,,,
11554,3,21,,,,,,,#DIV/0!,,,,,,,,,
311262,3,23,,,,4.55,n/a,,4.55,n/a,,2.83,,**possible confusion or wrong vhel,,,,
311262,3,25,,,,,,,#DIV/0!,,,,,,,,,
311262,11,11,,,,,,,#DIV/0!,,,,,,,,,
321738,3,27,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
321738,3,29,,,,,,,#DIV/0!,,,,,,,,,
323630,3,31,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
323630,3,33,,,,,,,#DIV/0!,,,,,,,,,
12071,3,35,3.0317,,,2.6,4.04,,3.2239,2.13,,0.8,,,,,,
12071,3,37,,,,,,,#DIV/0!,,, ,,,,,,
12071,11,13,,,,,,,#DIV/0!,,,,,,,,,
320249,3,39,,,,3.03,,,3.03,,,1.09,,Baseline unreliable,,,,
320249,3,41,,,,,,,#DIV/0!,,,,,,,,,
331536,3,43,n/a,,,n/a,n/a,,#DIV/0!,n/a,,,,,,,,
331536,3,45,,,,,,,#DIV/0!,,,,,,,,,
331536,11,15,,,,,,,#DIV/0!,,,n/a,,,,,,
337144,3,47,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
337144,3,49,,,,,,,#DIV/0!,,,,,,,,,
646,3,51,n/a,,,,n/a,,#DIV/0!,n/a,,,,vhel and detection are shifted left,,,,
646,3,53,,,,,,,#DIV/0!,,,,,,,,,
646,26,33,,,,,,,,,,,,,,,,
646,26,35,,,,,,,,,,,,,,,,
111724,3,55,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
111724,3,57,,,,,,,#DIV/0!,,,,,,,,,
125814,3,59,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
125814,3,61,,,,,,,#DIV/0!,,,,,,,,,
1993,3,63,11.27,,,11.6,10.94,10.41,11.27,8.67,,9.7,,,,,,
1993,3,65,,,,,,,#DIV/0!,,,,,,,,,
2164,3,67,9,,,9.5,9.33,,9.276666667,7.27,,8,,,,,,
2164,3,69,,,,,,,#DIV/0!,,,,,,,,,
2164,26,37,,,,,,,,,,,,,,,,
2353,3,71,n/a,,,,n/a,,#DIV/0!,n/a,,,,maybe detection but too weak,,,,
2353,3,73,,,,,,,#DIV/0!,,,,,,,,,
120570,3,75,4.199,,,,4.99,,4.5945,2.18,,,,,,,,
120570,3,77,,,,,,,#DIV/0!,,,,,,,,,
120570,26,39,,,,,,,,,,,,,,,,
120570,26,41,,,,,,,,,,,,,,,,
2561,3,79,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
2561,3,81,,,,,,,#DIV/0!,,,,,,,,,
2561,26,43,,,,,,,,,,,,,,,,
2561,26,45,,,,,,,,,,,,,,,,
131345,3,83,4.98,,,,5.14,,5.06,3.47,,,,vhel and detection are shifted left,,,,
131345,3,85,,,,,,,#DIV/0!,,,,,,,,,
3329,3,95,5.228,,,5.18,5.72,,5.376,2.42,,3.23,,,,,,
3329,3,97,,,,,,,#DIV/0!,,,,,,,,,
3329,16,61,,,,,,,#DIV/0!,,,,,,,,,
3329,16,63,,,,,,,#DIV/0!,,,,,,,,,
440970,3,99,6.324,,,5.01,6.1,,5.811333333,3.31,,2.64,,,,,,
440970,3,101,,,,,,,#DIV/0!,,,,,,,,,
440970,16,45,,,,,,,#DIV/0!,,,,,,,,,
440970,16,47,,,,,,,#DIV/0!,,,,,,,,,
23161,3,103,11.7152,,,5.6,10.9,8.953,9.405066667,8.77,,3.9,,,,,,
23161,3,105,,,,,,,#DIV/0!,,,,,,,,,
441221,3,107,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
441221,3,109,,,,,,,#DIV/0!,,,,,,,,,
3376,3,111,22.08,,,23,21.93,15.111,22.33666667,19.1,,20,,,,,,
460362,3,113,n/a,,,,n/a,,#DIV/0!,n/a,,,,gps right over detection (can't filter out),,,,
460362,3,115,,,,,,,#DIV/0!,,,,,,,,,
460003,3,117,38.729,,,36.65,37.73,18.679,37.703,34.78,35,,,,,,,
460003,3,119,,,,,,,#DIV/0!,,,,,,,,,
460363,3,121,4.5809,,,3.71,3.71,,4.0003,3.62,,1.56,,,,,,
460363,4,17,,,,,,,#DIV/0!,,,,,,,,,
460363,16,65,,,,,,,#DIV/0!,,,,,,,,,
460363,16,67,,,,,,,#DIV/0!,,,,,,,,,
25281,4,19,6.283,,,5.86,,,6.0715,3.01,,2.7,,,,,,
25281,4,21,,,,,,,#DIV/0!,,,,,,,,,
25281,16,69,,,,,,,#DIV/0!,,,,,,,,,
25281,16,71,,,,,,,#DIV/0!,,,,,,,,,
3634,4,23,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
3634,4,25,,,,,,,#DIV/0!,,,,,,,,,
3738,4,27,7.456,,,,8.14,,7.798,5.52,,,,,,,,
3738,4,29,,,,,,,#DIV/0!,,,,,,,,,
175126,4,31,n/a,,,n/a,n/a,,#DIV/0!,n/a,,n/a,,,,,,
175126,4,33,,,,,,,#DIV/0!,,,,,,,,,
175126,4,35,,,,,,,#DIV/0!,,,,,,,,,
175126,16,85,,,,,,,#DIV/0!,,,,,,,,,
175126,16,87,,,,,,,#DIV/0!,,,,,,,,,
272738,5,9,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
272738,5,11,,,,,,,#DIV/0!,,,,,,,,,
272739,5,13,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
272739,5,15,,,,,,,#DIV/0!,,,,,,,,,
272739,9,27,,,,,,,#DIV/0!,,,,,,,,,
11097,5,17,7.986,,,7.44,8.12,,7.848666667,6.05,,5.75,,,,,,
11097,9,25,,,,,,,#DIV/0!,,,,,,,,,
11260,5,19,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
11260,5,21,,,,,,,#DIV/0!,,,,,,,,,
11409,5,23,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
11409,5,25,,,,,,,#DIV/0!,,,,,,,,,
290421,5,27,3.995,,,,4.38,,4.1875,,,,,shifted gaussian detection (maybe rfi),,,,
290421,5,29,,,,,,,#DIV/0!,,,,,,,,,
11470,5,31,3.5721,,,,3.68,,3.62605,1.58,,,,,,,,
11470,5,33,,,,,,,#DIV/0!,,,,,,,,,
11470,21,9,,,,,,,,,,,,,,,,
11470,21,11,,,,2.13,,,,1.3,,,,,,,,
11478,5,35,8.33,,,,9.23,,8.78,4.35,,,,,,,,
11478,5,37,,,,,,,#DIV/0!,,,,,,,,,
480379,7,9,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
480379,7,11,,,,,,,#DIV/0!,,,,,,,,,
4481,7,13,7.23,,,7.34,7.19,,7.253333333,6.41,,5.88,,,,,,
4481,7,15,,,,,,,#DIV/0!,,,,,,,,,
4481,8,11,,,,,,,#DIV/0!,,,,,,,,,
4455,7,17,5.517,,,4.93,4.45,,4.965666667,2.58,,3.48,,,,,,
4455,7,19,,,,,,,#DIV/0!,,,,,,,,,
4455,8,9,,,,,,,#DIV/0!,,,,,,,,,
480381,7,21,4.37,,,3.47,3.61,,3.816666667,2.24,,3.24,,detection shifted left,,,,
480381,7,23,,,,,,,#DIV/0!,,,,,,,,,
26163,7,25,20.807,,,20.96,21.27,,21.01233333,,,19.71,,,,,,
26163,7,27,,,,,,,#DIV/0!,,,,,,,,,
531592,7,29,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
531592,7,31,,,,,,,#DIV/0!,,,,,,,,,
490057,7,33,5.2519,,,,5.45,,5.35095,,,,,,,,,
490057,7,35,,,,,,,#DIV/0!,,,,,,,,,
490064,7,37,22.583,,,22.27,20.87,,21.90766667,-,,,,,,,,
490064,7,39,,,,,,,#DIV/0!,,,,,,,,,
490778,7,41,3.08,,,2.9,3.14,,3.04,n/a,,,,,,,,
490778,7,43,,,,,,,#DIV/0!,,,,,,,,,
190579,7,45,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
190579,7,47,,,,,,,#DIV/0!,,,,,,,,,
26744,8,13,4.976,,,,4.15,,4.563,1.38,,,,,,,,
26744,8,15,,,,,,,#DIV/0!,,,,,,,,,
490781,8,17,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
490781,8,19,,,,,,,#DIV/0!,,,,,,,,,
26706,8,21,53.16,,,51.96,55.68,,53.6,-,,,,,,,,
26706,8,23,,,,,,,#DIV/0!,,,,,,,,,
501818,8,25,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
501818,8,27,,,,,,,#DIV/0!,,,,,,,,,
204628,8,29,2.941,,,,2.95,,2.9455,n/a,,,,,,,,
204628,8,31,,,,,,,#DIV/0!,,,,,,,,,
200048,8,33,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
200048,8,35,,,,,,,#DIV/0!,,,,,,,,,
201353,8,37,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
201353,8,39,,,,,,,#DIV/0!,,,,,,,,,
501715,8,41,3.87,,,,3.56,,3.715,,,,,,,,,
501715,8,43,,,,,,,#DIV/0!,,,,,,,,,
204982,8,45,3.48,,,,3.3,,3.39,n/a,,,,not sure if the detection is rfi (S/N of 3 doesn't match spectrum),,,,
204982,8,47,,,,,,,#DIV/0!,,,,,,,,,
560035,9,9,4.445,,,,4.52,,4.4825,,,,,,,,,
560035,9,11,,,,,,,#DIV/0!,,,,,,,,,
272734,9,13,5.97,,,,5.9,,5.935,3,,,,,,,,
272734,9,15,,,,,,,#DIV/0!,,,,,,,,,
11198,9,17,4.65,,,,4.5,,4.575,2.76,,,,,,,,
11198,9,19,,,,,,,#DIV/0!,,,,,,,,,
11128,9,21,4.2,,,,5.13,,4.665,3.13,,,,,,,,
11128,9,23,,,,,,,#DIV/0!,,,,,,,,,
272735,9,29,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
272735,9,31,,,,,,,#DIV/0!,,,,,,,,,
10244,9,33,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
10244,9,35,,,,,,,#DIV/0!,,,,,,,,,
261094,9,37,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
261094,9,39,,,,,,,#DIV/0!,,,,,,,,,
260804,9,41,6.78,,,,2.93,,4.855,4.32,,,,,,,,
260804,9,43,,,,,,,#DIV/0!,,,,,,,,,
272736,9,45,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
272736,9,47,,,,,,,#DIV/0!,,,,,,,,,
272737,9,49,,,,,n/a,,#DIV/0!,n/a,,,,,,,,
272737,9,51,n/a,,,,,,#DIV/0!,,,,,,,,,
270260,9,53,4.329,,,,4.3,,4.3145,2.49,,,,,,,,
270260,9,55,,,,,,,#DIV/0!,,,,,,,,,
272733,9,57,4.891,,,,5.62,,5.2555,3.79,,,,,,,,
272733,9,59,,,,,,,#DIV/0!,,,,,,,,,
